               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.033995,           0.0091645,          0.00067297,             0.85053,             0.89588,             0.91186,             0.39885,            0.042022,           0.0066069,          0.00090387,             0.00769,             0.00769,             0.00769
                  37,            0.034363,           0.0087263,          0.00071488,             0.90023,              0.9125,             0.91961,             0.49993,            0.035843,             0.00632,          0.00089045,            0.007624,            0.007624,            0.007624
                  38,            0.034223,           0.0082223,          0.00075072,             0.90871,             0.87113,             0.92353,             0.49559,            0.036341,           0.0064067,          0.00093508,            0.007558,            0.007558,            0.007558
                  39,            0.034328,           0.0089792,           0.0007879,              0.8649,             0.87399,             0.90703,             0.48546,            0.036525,           0.0062604,          0.00093999,            0.007492,            0.007492,            0.007492
                  40,            0.033786,           0.0088058,          0.00073265,             0.84862,             0.82369,             0.86862,             0.49839,             0.03744,           0.0076582,           0.0027574,            0.007426,            0.007426,            0.007426
                  41,            0.033273,            0.009368,           0.0006156,             0.90206,             0.89167,             0.91999,             0.45291,            0.039311,           0.0064742,          0.00074329,             0.00736,             0.00736,             0.00736
                  42,            0.033305,           0.0087026,          0.00061674,             0.88597,             0.89361,             0.90954,             0.49425,            0.036316,           0.0066466,          0.00078931,            0.007294,            0.007294,            0.007294
                  43,            0.033158,           0.0092458,          0.00074595,             0.89775,             0.84369,             0.90034,             0.42249,            0.039291,           0.0065459,          0.00080438,            0.007228,            0.007228,            0.007228
                  44,            0.033295,           0.0088484,          0.00064365,             0.86764,             0.89899,             0.91939,             0.50184,            0.037269,           0.0064819,          0.00073824,            0.007162,            0.007162,            0.007162
                  45,            0.031614,           0.0087669,          0.00059481,             0.86275,             0.90732,             0.91063,             0.48931,            0.036832,           0.0065533,          0.00070171,            0.007096,            0.007096,            0.007096
                  46,            0.032747,           0.0082547,          0.00056828,             0.86474,             0.87175,              0.8848,             0.48195,            0.037195,           0.0065855,          0.00071089,             0.00703,             0.00703,             0.00703
                  47,            0.031587,           0.0086194,          0.00059715,             0.90709,             0.86088,             0.90427,             0.50148,            0.036474,           0.0068336,          0.00093811,            0.006964,            0.006964,            0.006964
                  48,            0.031063,           0.0084597,          0.00058549,             0.88015,             0.85625,             0.89752,             0.48222,            0.038467,           0.0068069,          0.00074518,            0.006898,            0.006898,            0.006898
                  49,            0.032209,           0.0078194,          0.00058937,             0.90495,             0.88232,             0.92418,             0.50552,             0.03759,           0.0067383,          0.00072968,            0.006832,            0.006832,            0.006832
                  50,            0.032595,           0.0080619,          0.00062251,             0.87628,             0.85315,             0.89949,             0.50323,            0.039794,           0.0067647,          0.00077078,            0.006766,            0.006766,            0.006766
                  51,            0.029992,           0.0084532,          0.00062144,             0.82398,             0.90214,             0.89536,             0.51463,            0.037699,           0.0064551,          0.00070174,              0.0067,              0.0067,              0.0067
                  52,            0.030429,           0.0084674,          0.00051892,             0.86972,             0.89482,             0.91606,             0.54033,            0.036699,           0.0063937,          0.00067933,            0.006634,            0.006634,            0.006634
                  53,            0.031117,           0.0078733,          0.00058026,             0.85037,             0.85744,             0.90557,             0.50709,             0.03677,           0.0066263,          0.00080473,            0.006568,            0.006568,            0.006568
                  54,            0.030253,            0.008241,          0.00060648,             0.88259,             0.87742,              0.8923,             0.48159,             0.03831,           0.0064909,          0.00072386,            0.006502,            0.006502,            0.006502
                  55,            0.029403,           0.0081725,          0.00055217,             0.86189,             0.89973,             0.91159,             0.48414,            0.039258,            0.006637,          0.00065219,            0.006436,            0.006436,            0.006436
                  56,            0.029401,           0.0081471,          0.00051225,             0.86497,             0.86703,             0.90549,               0.462,            0.039873,           0.0063847,          0.00065273,             0.00637,             0.00637,             0.00637
                  57,            0.029913,           0.0074585,          0.00050176,             0.90904,             0.88615,             0.92723,             0.45179,            0.037889,           0.0065289,          0.00063399,            0.006304,            0.006304,            0.006304
